Compressor	Ratio	Compression (MB/s)	Decompression (MB/s)	Load time (s/MB)	Send time (s/MB)
gzip -9	3.437	17.060	172.741	.295	.353
gzip -8	3.437	16.716	180.252	.295	.354
gzip -7	3.421	22.779	165.832	.298	.341
gzip -6	3.397	25.434	180.252	.299	.338
gzip -5	3.334	37.016	172.741	.304	.331
gzip -4	3.191	51.182	172.741	.318	.337
gzip -3	3.045	49.354	159.453	.334	.354
gzip -2	2.912	64.778	153.548	.349	.364
gzip -1	2.768	71.479	153.548	.367	.380
bzip2 -9	4.795	10.630	31.890	.239	.333
bzip2 -8	4.757	10.796	32.903	.240	.332
bzip2 -7	4.713	10.852	31.647	.243	.335
bzip2 -6	4.663	11.358	31.171	.246	.334
bzip2 -5	4.607	11.516	33.166	.247	.333
bzip2 -4	4.528	11.678	32.137	.251	.336
bzip2 -3	4.429	11.913	32.137	.256	.339
bzip2 -2	4.284	12.449	34.262	.262	.342
bzip2 -1	4.018	12.375	35.434	.276	.356
brotli 0	2.693	243.870	296.128	.374	.378
brotli 1	2.811	188.445	276.386	.358	.363
brotli 2	3.280	88.208	345.483	.306	.317
brotli 3	3.342	74.032	345.483	.301	.314
brotli 4	3.485	46.582	414.580	.288	.309
brotli 5	3.753	23.964	460.644	.268	.309
brotli 6	3.886	17.869	414.580	.259	.314
brotli 7	4.059	10.186	414.580	.248	.346
brotli 8	4.166	5.905	414.580	.242	.411
brotli 9	4.266	3.359	345.483	.236	.533
brotli 10	4.838	.860	318.907	.209	1.371
