Compressor	Ratio	Compression (MB/s)	Decompression (MB/s)	Load time (s/MB)	Send time (s/MB)
brotli 0	2.693	218.200	243.870	.375	.379
brotli 1	2.811	180.252	296.128	.358	.363
brotli 2	3.280	84.608	318.907	.307	.318
brotli 3	3.342	78.222	345.483	.301	.313
brotli 4	3.485	40.645	376.890	.288	.312
brotli 5	3.753	22.904	414.580	.268	.311
brotli 6	3.886	17.346	414.580	.259	.316
brotli 7	4.059	9.316	414.580	.248	.355
brotli 8	4.166	5.476	345.483	.242	.424
brotli 9	4.266	3.313	276.386	.237	.538
brotli 10	4.838	.837	296.128	.209	1.403
brotli 11	4.918	.425	296.128	.206	2.558
