Compressor	Ratio	Compression (MB/s)	Decompression (MB/s)	Load time (s/MB)	Send time (s/MB)
lz4 -12	2.993	12.157	2072.900	.334	.416
lz4 -11	2.992	9.379	2072.900	.334	.440
lz4 -10	2.982	15.469	4145.800	.335	.399
lz4 -9	2.955	24.103	2072.900	.338	.379
lz4 -8	2.953	26.239	2072.900	.338	.376
lz4 -7	2.948	30.938	2072.900	.339	.371
lz4 -6	2.939	36.050	1381.933	.340	.367
lz4 -5	2.920	42.304	2072.900	.342	.365
lz4 -4	2.880	49.949	2072.900	.347	.367
lz4 -3	2.808	62.815	2072.900	.356	.371
lz4 -2	2.057	345.483	2072.900	.486	.488
lz4 -1	2.057	345.483	2072.900	.486	.488
